day,Date,time,open,high,low,close,index
Tuesday,2020-01-07,14:00:00,1.1156,1.1162,1.1145,1.1148,198
Tuesday,2020-01-07,15:00:00,1.1148,1.1152,1.1133,1.1142,197
Tuesday,2020-01-07,16:00:00,1.1142,1.1144,1.1132,1.1136,196
Tuesday,2020-01-07,17:00:00,1.1137,1.1147,1.1135,1.1142,195
Tuesday,2020-01-07,18:00:00,1.1142,1.115,1.114,1.1143,194
Tuesday,2020-01-07,19:00:00,1.1143,1.1145,1.114,1.1144,193
Tuesday,2020-01-07,20:00:00,1.1145,1.1148,1.1141,1.1144,192
Tuesday,2020-01-07,21:00:00,1.1144,1.1154,1.1142,1.1152,191
Tuesday,2020-01-07,22:00:00,1.1152,1.1154,1.1141,1.1148,190
Tuesday,2020-01-07,23:00:00,1.1147,1.1154,1.1146,1.1154,189
Tuesday,2020-01-14,00:00:00,1.1134,1.1142,1.1132,1.1138,92
Tuesday,2020-01-14,01:00:00,1.1138,1.1141,1.113,1.1136,91
Tuesday,2020-01-14,02:00:00,1.1137,1.1139,1.1134,1.1137,90
Tuesday,2020-01-14,03:00:00,1.1137,1.1139,1.1133,1.1136,89
Tuesday,2020-01-14,04:00:00,1.1136,1.1138,1.1134,1.1136,88
Tuesday,2020-01-14,05:00:00,1.1137,1.1139,1.1134,1.1137,87
Tuesday,2020-01-14,06:00:00,1.1137,1.1145,1.1133,1.1144,86
Tuesday,2020-01-14,07:00:00,1.1144,1.1144,1.1136,1.1143,85
Tuesday,2020-01-14,08:00:00,1.1142,1.1144,1.1132,1.1135,84
Tuesday,2020-01-14,09:00:00,1.1135,1.1136,1.1128,1.1131,83
Tuesday,2020-01-14,10:00:00,1.1131,1.1135,1.1126,1.1134,82
Tuesday,2020-01-14,11:00:00,1.1133,1.1135,1.1124,1.113,81
Tuesday,2020-01-14,12:00:00,1.113,1.113,1.1118,1.1121,80
Tuesday,2020-01-14,13:00:00,1.1121,1.1121,1.1104,1.111,79
Tuesday,2020-01-14,14:00:00,1.111,1.1123,1.1103,1.1122,78
Tuesday,2020-01-14,15:00:00,1.1122,1.1123,1.1112,1.1122,77
Tuesday,2020-01-14,16:00:00,1.1122,1.1131,1.1119,1.1129,76
Tuesday,2020-01-14,17:00:00,1.113,1.1133,1.1126,1.1131,75
Tuesday,2020-01-14,18:00:00,1.1131,1.1135,1.1128,1.1131,74
Tuesday,2020-01-14,19:00:00,1.1131,1.1133,1.1126,1.1127,73
Tuesday,2020-01-14,20:00:00,1.1128,1.113,1.1125,1.1128,72
Tuesday,2020-01-14,21:00:00,1.1128,1.1128,1.1123,1.1127,71
Tuesday,2020-01-14,22:00:00,1.1127,1.1129,1.1124,1.1126,70
Tuesday,2020-01-14,23:00:00,1.1126,1.1128,1.1124,1.1127,69
Wednesday,2020-01-01,17:00:00,1.1215,1.1215,1.1215,1.1215,291
Wednesday,2020-01-01,18:00:00,1.1208,1.1221,1.1208,1.1212,290
Wednesday,2020-01-01,19:00:00,1.1213,1.1216,1.1212,1.1213,289
Wednesday,2020-01-01,20:00:00,1.1213,1.1218,1.121,1.1213,288
Wednesday,2020-01-01,21:00:00,1.1212,1.1214,1.1208,1.1212,287
Wednesday,2020-01-01,22:00:00,1.1212,1.1217,1.1208,1.1215,286
Wednesday,2020-01-01,23:00:00,1.1215,1.1222,1.1212,1.1219,285
Wednesday,2020-01-08,00:00:00,1.1154,1.1168,1.1151,1.1159,188
Wednesday,2020-01-08,01:00:00,1.1159,1.1163,1.1153,1.1156,187
Wednesday,2020-01-08,02:00:00,1.1156,1.1161,1.1151,1.1159,186
Wednesday,2020-01-08,03:00:00,1.1159,1.1159,1.1152,1.1155,185
Wednesday,2020-01-08,04:00:00,1.1155,1.1156,1.1143,1.1148,184
Wednesday,2020-01-08,05:00:00,1.1148,1.1151,1.1145,1.1148,183
Wednesday,2020-01-08,06:00:00,1.1149,1.1154,1.1147,1.115,182
Wednesday,2020-01-08,07:00:00,1.115,1.1155,1.1142,1.115,181
Wednesday,2020-01-08,08:00:00,1.1151,1.1153,1.1128,1.1135,180
Wednesday,2020-01-08,09:00:00,1.1135,1.1145,1.1124,1.1138,179
Wednesday,2020-01-08,10:00:00,1.1138,1.1139,1.1124,1.1127,178
Wednesday,2020-01-08,11:00:00,1.1127,1.1131,1.1119,1.1127,177
Wednesday,2020-01-08,12:00:00,1.1127,1.1131,1.1113,1.1117,176
Wednesday,2020-01-08,13:00:00,1.1117,1.1122,1.111,1.112,175
Wednesday,2020-01-08,14:00:00,1.112,1.1127,1.1116,1.1124,174
Wednesday,2020-01-08,15:00:00,1.1125,1.1131,1.1114,1.112,173
