,index,date,open,high,low,close,Day of Week
192,339,2020-01-02 16:00:00,1.1201,1.1203,1.1164,1.1166,Thursday
193,338,2020-01-02 17:00:00,1.1166,1.1172,1.1162,1.117,Thursday
194,337,2020-01-02 18:00:00,1.117,1.1172,1.1162,1.117,Thursday
195,336,2020-01-02 19:00:00,1.117,1.117,1.1163,1.1166,Thursday
196,335,2020-01-02 20:00:00,1.1166,1.1172,1.1164,1.1169,Thursday
197,334,2020-01-02 21:00:00,1.1169,1.1174,1.1167,1.1172,Thursday
198,333,2020-01-02 22:00:00,1.1172,1.1173,1.1168,1.1171,Thursday
199,332,2020-01-02 23:00:00,1.1171,1.1174,1.1168,1.1171,Thursday
200,187,2020-01-09 00:00:00,1.1113,1.1116,1.1107,1.1113,Thursday
201,186,2020-01-09 01:00:00,1.1113,1.1119,1.1109,1.1117,Thursday
202,185,2020-01-09 02:00:00,1.1117,1.1119,1.1113,1.1115,Thursday
203,184,2020-01-09 03:00:00,1.1115,1.1118,1.1113,1.1115,Thursday
204,183,2020-01-09 04:00:00,1.1115,1.1116,1.1111,1.1115,Thursday
205,182,2020-01-09 05:00:00,1.1115,1.1119,1.1113,1.1118,Thursday
206,181,2020-01-09 06:00:00,1.1118,1.1119,1.1109,1.1112,Thursday
207,180,2020-01-09 07:00:00,1.1113,1.112,1.1109,1.1115,Thursday
208,179,2020-01-09 08:00:00,1.1115,1.1118,1.1103,1.1117,Thursday
209,178,2020-01-09 09:00:00,1.1117,1.1119,1.1097,1.1099,Thursday
210,177,2020-01-09 10:00:00,1.1099,1.1112,1.1095,1.111,Thursday
211,176,2020-01-09 11:00:00,1.111,1.1113,1.1101,1.1104,Thursday
212,175,2020-01-09 12:00:00,1.1103,1.1117,1.1102,1.1113,Thursday
213,174,2020-01-09 13:00:00,1.1114,1.1117,1.1105,1.1115,Thursday
214,173,2020-01-09 14:00:00,1.1115,1.1115,1.1102,1.1108,Thursday
215,172,2020-01-09 15:00:00,1.1108,1.1111,1.1092,1.1102,Thursday
216,171,2020-01-09 16:00:00,1.1102,1.1106,1.1093,1.1106,Thursday
217,170,2020-01-09 17:00:00,1.1106,1.1112,1.1102,1.1105,Thursday
218,169,2020-01-09 18:00:00,1.1105,1.1109,1.1102,1.1105,Thursday
219,168,2020-01-09 19:00:00,1.1105,1.111,1.1103,1.1106,Thursday
220,167,2020-01-09 20:00:00,1.1106,1.1107,1.1102,1.1106,Thursday
221,166,2020-01-09 21:00:00,1.1106,1.1107,1.1102,1.1105,Thursday
222,165,2020-01-09 22:00:00,1.1106,1.1107,1.1101,1.1106,Thursday
223,164,2020-01-09 23:00:00,1.1106,1.1109,1.1105,1.1109,Thursday
224,19,2020-01-16 00:00:00,1.1153,1.1158,1.115,1.1155,Thursday
225,18,2020-01-16 01:00:00,1.1155,1.1155,1.1151,1.1154,Thursday
226,17,2020-01-16 02:00:00,1.1154,1.1154,1.1149,1.1152,Thursday
227,16,2020-01-16 03:00:00,1.1152,1.1155,1.1149,1.1152,Thursday
228,15,2020-01-16 04:00:00,1.1153,1.1154,1.1149,1.1151,Thursday
229,14,2020-01-16 05:00:00,1.1151,1.1153,1.1148,1.115,Thursday
230,13,2020-01-16 06:00:00,1.115,1.1151,1.1143,1.115,Thursday
231,12,2020-01-16 07:00:00,1.115,1.1153,1.1143,1.1148,Thursday
232,11,2020-01-16 08:00:00,1.1148,1.1164,1.1145,1.1156,Thursday
233,10,2020-01-16 09:00:00,1.1156,1.1159,1.1149,1.1153,Thursday
234,9,2020-01-16 10:00:00,1.1154,1.1163,1.1151,1.1157,Thursday
235,8,2020-01-16 11:00:00,1.1158,1.1161,1.1154,1.1159,Thursday
236,7,2020-01-16 12:00:00,1.1159,1.1173,1.1155,1.1165,Thursday
237,6,2020-01-16 13:00:00,1.1165,1.117,1.1148,1.1151,Thursday
238,5,2020-01-16 14:00:00,1.1151,1.116,1.1139,1.1141,Thursday
239,4,2020-01-16 15:00:00,1.1141,1.1147,1.1129,1.1141,Thursday
240,3,2020-01-16 16:00:00,1.1141,1.1142,1.1127,1.113,Thursday
241,2,2020-01-16 17:00:00,1.113,1.1136,1.1128,1.1135,Thursday
242,1,2020-01-16 18:00:00,1.1135,1.1136,1.113,1.1135,Thursday
243,0,2020-01-16 19:00:00,1.1135,1.1136,1.113,1.1134,Thursday
244,331,2020-01-03 00:00:00,1.1171,1.1176,1.1168,1.1174,Friday
245,330,2020-01-03 01:00:00,1.1175,1.1179,1.1171,1.1174,Friday
246,329,2020-01-03 02:00:00,1.1174,1.1178,1.117,1.1173,Friday
247,328,2020-01-03 03:00:00,1.1173,1.1174,1.1168,1.1172,Friday
248,327,2020-01-03 04:00:00,1.1172,1.1175,1.1167,1.117,Friday
249,326,2020-01-03 05:00:00,1.117,1.1171,1.1163,1.1166,Friday
250,325,2020-01-03 06:00:00,1.1166,1.117,1.1163,1.1169,Friday
251,324,2020-01-03 07:00:00,1.1169,1.1172,1.115,1.1153,Friday
252,323,2020-01-03 08:00:00,1.1153,1.116,1.1149,1.1151,Friday
253,322,2020-01-03 09:00:00,1.1151,1.1152,1.1138,1.114,Friday
254,321,2020-01-03 10:00:00,1.114,1.1143,1.1129,1.1136,Friday
255,320,2020-01-03 11:00:00,1.1136,1.1136,1.1123,1.1129,Friday
256,319,2020-01-03 12:00:00,1.113,1.1143,1.1127,1.1139,Friday
257,318,2020-01-03 13:00:00,1.1139,1.1149,1.1136,1.1138,Friday
258,317,2020-01-03 14:00:00,1.1138,1.1154,1.1134,1.1152,Friday
259,316,2020-01-03 15:00:00,1.1152,1.1167,1.1152,1.1163,Friday
260,315,2020-01-03 16:00:00,1.1163,1.118,1.1161,1.1172,Friday
